dir_x: 0.007113, dir_y: -0.999975
dir_x: 0.763599, dir_y: -0.645691
dir_x: 0.768115, dir_y: -0.640312
dir_x: 0.772509, dir_y: -0.635003
dir_x: 0.776691, dir_y: -0.629882
dir_x: 0.781049, dir_y: -0.624470
dir_x: 0.785315, dir_y: -0.619097
dir_x: 0.789674, dir_y: -0.613526
dir_x: 0.793767, dir_y: -0.608222
dir_x: 0.797995, dir_y: -0.602664
dir_x: 0.801991, dir_y: -0.597336
dir_x: 0.806286, dir_y: -0.591527
dir_x: 0.810479, dir_y: -0.585767
dir_x: 0.814579, dir_y: -0.580053
dir_x: 0.818468, dir_y: -0.574552
dir_x: 0.822449, dir_y: -0.568839
dir_x: 0.826226, dir_y: -0.563339
dir_x: 0.830207, dir_y: -0.557455
dir_x: 0.834442, dir_y: -0.551095
dir_x: 0.838276, dir_y: -0.545246
dir_x: 0.842008, dir_y: -0.539464
dir_x: 0.845647, dir_y: -0.533743
dir_x: 0.850788, dir_y: -0.525509
dir_x: 0.854381, dir_y: -0.519646
dir_x: 0.858376, dir_y: -0.513021
dir_x: 0.862376, dir_y: -0.506268
dir_x: 0.866096, dir_y: -0.499877
dir_x: 0.869670, dir_y: -0.493633
dir_x: 0.873213, dir_y: -0.487339
dir_x: 0.876636, dir_y: -0.481154
dir_x: 0.880574, dir_y: -0.473909
dir_x: 0.884346, dir_y: -0.466832
dir_x: 0.888484, dir_y: -0.458907
dir_x: 0.891809, dir_y: -0.452413
dir_x: 0.894786, dir_y: -0.446496
dir_x: 0.898747, dir_y: -0.438468
dir_x: 0.901656, dir_y: -0.432453
dir_x: 0.904454, dir_y: -0.426572
dir_x: 0.907341, dir_y: -0.420395
dir_x: 0.910064, dir_y: -0.414468
dir_x: 0.912793, dir_y: -0.408423
dir_x: 0.915551, dir_y: -0.402202
dir_x: 0.919441, dir_y: -0.393229
dir_x: 0.922410, dir_y: -0.386212
dir_x: 0.924930, dir_y: -0.380137
dir_x: 0.927469, dir_y: -0.373900
dir_x: 0.929899, dir_y: -0.367814
dir_x: 0.932249, dir_y: -0.361817
dir_x: 0.934605, dir_y: -0.355688
dir_x: 0.937666, dir_y: -0.347538
dir_x: 0.939898, dir_y: -0.341454
dir_x: 0.942062, dir_y: -0.335438
dir_x: 0.944201, dir_y: -0.329370
dir_x: 0.946361, dir_y: -0.323111
dir_x: 0.948457, dir_y: -0.316907
dir_x: 0.950564, dir_y: -0.310529
dir_x: 0.952540, dir_y: -0.304414
dir_x: 0.954490, dir_y: -0.298243
dir_x: 0.956365, dir_y: -0.292176
dir_x: 0.958230, dir_y: -0.285998
dir_x: 0.960010, dir_y: -0.279967
dir_x: 0.961774, dir_y: -0.273844
dir_x: 0.964231, dir_y: -0.265064
dir_x: 0.966067, dir_y: -0.258292
dir_x: 0.968044, dir_y: -0.250781
dir_x: 0.969933, dir_y: -0.243374
dir_x: 0.971720, dir_y: -0.236136
dir_x: 0.973286, dir_y: -0.229595
dir_x: 0.974824, dir_y: -0.222974
dir_x: 0.976196, dir_y: -0.216889
dir_x: 0.977640, dir_y: -0.210286
dir_x: 0.979107, dir_y: -0.203345
dir_x: 0.980443, dir_y: -0.196802
dir_x: 0.981759, dir_y: -0.190129
dir_x: 0.982997, dir_y: -0.183619
dir_x: 0.984197, dir_y: -0.177077
dir_x: 0.985405, dir_y: -0.170226
dir_x: 0.986490, dir_y: -0.163822
dir_x: 0.987836, dir_y: -0.155501
dir_x: 0.988943, dir_y: -0.148295
dir_x: 0.989949, dir_y: -0.141423
dir_x: 0.991025, dir_y: -0.133677
dir_x: 0.992053, dir_y: -0.125823
dir_x: 0.992813, dir_y: -0.119675
dir_x: 0.993586, dir_y: -0.113082
dir_x: 0.994298, dir_y: -0.106641
dir_x: 0.995001, dir_y: -0.099870
dir_x: 0.995645, dir_y: -0.093224
dir_x: 0.996253, dir_y: -0.086486
dir_x: 0.996784, dir_y: -0.080136
dir_x: 0.997345, dir_y: -0.072820
dir_x: 0.997853, dir_y: -0.065487
dir_x: 0.998323, dir_y: -0.057881
dir_x: 0.998758, dir_y: -0.049820
dir_x: 0.999135, dir_y: -0.041591
dir_x: 0.999385, dir_y: -0.035061
dir_x: 0.999580, dir_y: -0.028969
dir_x: 0.999768, dir_y: -0.021552
dir_x: 0.999885, dir_y: -0.015163
dir_x: 0.999964, dir_y: -0.008474
dir_x: 0.999998, dir_y: -0.001862
dir_x: 0.999989, dir_y: 0.004738
dir_x: 0.999938, dir_y: 0.011092
dir_x: 0.999838, dir_y: 0.018024
dir_x: 0.999687, dir_y: 0.025018
dir_x: 0.999504, dir_y: 0.031496
dir_x: 0.999267, dir_y: 0.038287
dir_x: 0.998986, dir_y: 0.045013
dir_x: 0.998691, dir_y: 0.051144
dir_x: 0.998364, dir_y: 0.057186
dir_x: 0.997993, dir_y: 0.063330
dir_x: 0.997553, dir_y: 0.069919
dir_x: 0.996937, dir_y: 0.078209
dir_x: 0.996311, dir_y: 0.085813
dir_x: 0.995480, dir_y: 0.094972
dir_x: 0.994722, dir_y: 0.102609
dir_x: 0.993814, dir_y: 0.111057
dir_x: 0.992858, dir_y: 0.119302
dir_x: 0.991968, dir_y: 0.126493
dir_x: 0.991038, dir_y: 0.133581
dir_x: 0.990131, dir_y: 0.140143
dir_x: 0.989208, dir_y: 0.146517
dir_x: 0.988131, dir_y: 0.153615
dir_x: 0.987064, dir_y: 0.160325
dir_x: 0.985979, dir_y: 0.166872
dir_x: 0.984814, dir_y: 0.173615
dir_x: 0.982976, dir_y: 0.183736
dir_x: 0.981805, dir_y: 0.189890
dir_x: 0.980616, dir_y: 0.195942
dir_x: 0.979372, dir_y: 0.202063
dir_x: 0.978058, dir_y: 0.208335
dir_x: 0.976798, dir_y: 0.214164
dir_x: 0.975437, dir_y: 0.220279
dir_x: 0.974083, dir_y: 0.226189
dir_x: 0.972674, dir_y: 0.232175
dir_x: 0.971263, dir_y: 0.238007
dir_x: 0.969786, dir_y: 0.243958
dir_x: 0.968252, dir_y: 0.249976
dir_x: 0.966619, dir_y: 0.256219
dir_x: 0.964944, dir_y: 0.262456
dir_x: 0.963299, dir_y: 0.268432
dir_x: 0.961633, dir_y: 0.274340
dir_x: 0.959854, dir_y: 0.280499
dir_x: 0.958121, dir_y: 0.286362
dir_x: 0.956396, dir_y: 0.292075
dir_x: 0.954591, dir_y: 0.297919
dir_x: 0.952702, dir_y: 0.303907
dir_x: 0.950861, dir_y: 0.309618
dir_x: 0.948946, dir_y: 0.315440
dir_x: 0.947059, dir_y: 0.321059
dir_x: 0.945066, dir_y: 0.326878
dir_x: 0.943100, dir_y: 0.332509
dir_x: 0.941046, dir_y: 0.338280
dir_x: 0.938938, dir_y: 0.344086
dir_x: 0.936719, dir_y: 0.350082
dir_x: 0.934429, dir_y: 0.356150
dir_x: 0.932055, dir_y: 0.362318
dir_x: 0.929848, dir_y: 0.367945
dir_x: 0.927528, dir_y: 0.373754
dir_x: 0.925283, dir_y: 0.379277
dir_x: 0.922951, dir_y: 0.384918
dir_x: 0.920556, dir_y: 0.390612
dir_x: 0.918054, dir_y: 0.396456
dir_x: 0.915602, dir_y: 0.402086
dir_x: 0.913260, dir_y: 0.407378
dir_x: 0.910813, dir_y: 0.412820
dir_x: 0.907004, dir_y: 0.421123
dir_x: 0.904449, dir_y: 0.426582
dir_x: 0.901934, dir_y: 0.431873
dir_x: 0.899398, dir_y: 0.437131
dir_x: 0.896766, dir_y: 0.442504
dir_x: 0.894052, dir_y: 0.447963
dir_x: 0.891433, dir_y: 0.453153
dir_x: 0.888753, dir_y: 0.458387
dir_x: 0.884898, dir_y: 0.465785
dir_x: 0.882125, dir_y: 0.471015
dir_x: 0.879396, dir_y: 0.476091
dir_x: 0.876564, dir_y: 0.481285
dir_x: 0.873664, dir_y: 0.486530
dir_x: 0.870673, dir_y: 0.491863
dir_x: 0.867597, dir_y: 0.497268
dir_x: 0.864657, dir_y: 0.502363
dir_x: 0.860532, dir_y: 0.509397
dir_x: 0.857285, dir_y: 0.514842
dir_x: 0.853084, dir_y: 0.521774
dir_x: 0.849664, dir_y: 0.527324
dir_x: 0.846154, dir_y: 0.532938
dir_x: 0.842197, dir_y: 0.539171
dir_x: 0.838826, dir_y: 0.544400
dir_x: 0.835458, dir_y: 0.549554
dir_x: 0.831578, dir_y: 0.555408
dir_x: 0.827403, dir_y: 0.561609
dir_x: 0.823241, dir_y: 0.567692
dir_x: 0.819075, dir_y: 0.573686
dir_x: 0.814885, dir_y: 0.579622
dir_x: 0.811105, dir_y: 0.584900
dir_x: 0.807203, dir_y: 0.590274
dir_x: 0.803266, dir_y: 0.595620
dir_x: 0.799382, dir_y: 0.600823
dir_x: 0.795474, dir_y: 0.605988
dir_x: 0.791565, dir_y: 0.611084
dir_x: 0.787262, dir_y: 0.616619
dir_x: 0.782884, dir_y: 0.622168
dir_x: 0.779129, dir_y: 0.626864
dir_x: 0.775348, dir_y: 0.631534
dir_x: 0.771325, dir_y: 0.636441
dir_x: 0.767412, dir_y: 0.641154
dir_x: 0.763245, dir_y: 0.646109
dir_x: 0.758736, dir_y: 0.651398
dir_x: 0.754609, dir_y: 0.656175
dir_x: 0.750736, dir_y: 0.660603
dir_x: 0.746761, dir_y: 0.665093
dir_x: 0.740805, dir_y: 0.671720
dir_x: 0.736658, dir_y: 0.676265
dir_x: 0.732340, dir_y: 0.680939
dir_x: 0.727986, dir_y: 0.685592
dir_x: 0.723777, dir_y: 0.690034
dir_x: 0.719305, dir_y: 0.694694
dir_x: 0.715138, dir_y: 0.698983
dir_x: 0.710923, dir_y: 0.703270
dir_x: 0.706691, dir_y: 0.707523
dir_x: 0.702279, dir_y: 0.711901
dir_x: 0.697666, dir_y: 0.716423
dir_x: 0.692752, dir_y: 0.721176
dir_x: 0.688071, dir_y: 0.725644
dir_x: 0.683672, dir_y: 0.729790
dir_x: 0.679232, dir_y: 0.733923
dir_x: 0.674454, dir_y: 0.738317
dir_x: 0.670051, dir_y: 0.742315
dir_x: 0.665355, dir_y: 0.746527
dir_x: 0.660735, dir_y: 0.750619
dir_x: 0.655735, dir_y: 0.754991
dir_x: 0.650602, dir_y: 0.759419
dir_x: 0.645845, dir_y: 0.763468
dir_x: 0.641294, dir_y: 0.767295
dir_x: 0.636709, dir_y: 0.771104
dir_x: 0.632069, dir_y: 0.774912
dir_x: 0.627104, dir_y: 0.778935
dir_x: 0.622173, dir_y: 0.782880
dir_x: 0.617285, dir_y: 0.786740
dir_x: 0.612712, dir_y: 0.790306
dir_x: 0.607876, dir_y: 0.794032
dir_x: 0.602807, dir_y: 0.797887
dir_x: 0.597631, dir_y: 0.801771
dir_x: 0.592660, dir_y: 0.805453
dir_x: 0.588168, dir_y: 0.808739
dir_x: 0.583624, dir_y: 0.812024
dir_x: 0.578943, dir_y: 0.815368
dir_x: 0.574092, dir_y: 0.818791
dir_x: 0.569218, dir_y: 0.822187
dir_x: 0.564237, dir_y: 0.825613
dir_x: 0.559661, dir_y: 0.828722
dir_x: 0.552420, dir_y: 0.833566
dir_x: 0.547622, dir_y: 0.836726
dir_x: 0.542990, dir_y: 0.839739
dir_x: 0.538352, dir_y: 0.842720
dir_x: 0.533608, dir_y: 0.845732
dir_x: 0.528738, dir_y: 0.848785
dir_x: 0.524053, dir_y: 0.851686
dir_x: 0.519212, dir_y: 0.854645
dir_x: 0.514508, dir_y: 0.857486
dir_x: 0.509671, dir_y: 0.860369
dir_x: 0.504867, dir_y: 0.863197
dir_x: 0.500033, dir_y: 0.866007
dir_x: 0.495065, dir_y: 0.868856
dir_x: 0.490190, dir_y: 0.871615
dir_x: 0.485385, dir_y: 0.874301
dir_x: 0.480462, dir_y: 0.877016
dir_x: 0.475505, dir_y: 0.879713
dir_x: 0.470854, dir_y: 0.882211
dir_x: 0.466035, dir_y: 0.884766
dir_x: 0.461277, dir_y: 0.887256
dir_x: 0.456527, dir_y: 0.889710
dir_x: 0.451789, dir_y: 0.892125
dir_x: 0.446879, dir_y: 0.894595
dir_x: 0.441813, dir_y: 0.897107
dir_x: 0.436697, dir_y: 0.899608
dir_x: 0.431725, dir_y: 0.902005
dir_x: 0.426837, dir_y: 0.904329
dir_x: 0.421822, dir_y: 0.906679
dir_x: 0.417048, dir_y: 0.908884
dir_x: 0.412128, dir_y: 0.911126
dir_x: 0.407205, dir_y: 0.913337
dir_x: 0.402122, dir_y: 0.915586
dir_x: 0.396867, dir_y: 0.917876
dir_x: 0.392028, dir_y: 0.919953
dir_x: 0.386972, dir_y: 0.922092
dir_x: 0.382103, dir_y: 0.924120
dir_x: 0.377036, dir_y: 0.926199
dir_x: 0.372157, dir_y: 0.928170
dir_x: 0.367231, dir_y: 0.930130
dir_x: 0.362273, dir_y: 0.932072
dir_x: 0.357214, dir_y: 0.934022
dir_x: 0.352017, dir_y: 0.935994
dir_x: 0.347087, dir_y: 0.937833
dir_x: 0.342026, dir_y: 0.939691
dir_x: 0.337026, dir_y: 0.941495
dir_x: 0.328975, dir_y: 0.944339
dir_x: 0.323820, dir_y: 0.946119
dir_x: 0.318815, dir_y: 0.947817
dir_x: 0.313888, dir_y: 0.949460
dir_x: 0.308934, dir_y: 0.951084
dir_x: 0.303976, dir_y: 0.952680
dir_x: 0.298967, dir_y: 0.954263
dir_x: 0.293824, dir_y: 0.955860
dir_x: 0.288805, dir_y: 0.957388
dir_x: 0.281222, dir_y: 0.959643
dir_x: 0.276050, dir_y: 0.961143
dir_x: 0.271012, dir_y: 0.962576
dir_x: 0.265967, dir_y: 0.963982
dir_x: 0.260856, dir_y: 0.965378
dir_x: 0.255812, dir_y: 0.966726
dir_x: 0.250830, dir_y: 0.968031
dir_x: 0.245619, dir_y: 0.969367
dir_x: 0.240588, dir_y: 0.970627
dir_x: 0.235529, dir_y: 0.971867
dir_x: 0.230418, dir_y: 0.973092
dir_x: 0.225227, dir_y: 0.974306
dir_x: 0.220112, dir_y: 0.975475
dir_x: 0.215093, dir_y: 0.976593
dir_x: 0.210031, dir_y: 0.977695
dir_x: 0.204851, dir_y: 0.978793
dir_x: 0.199518, dir_y: 0.979894
dir_x: 0.194091, dir_y: 0.980983
dir_x: 0.188974, dir_y: 0.981982
dir_x: 0.183722, dir_y: 0.982978
dir_x: 0.178626, dir_y: 0.983917
dir_x: 0.173385, dir_y: 0.984854
dir_x: 0.168327, dir_y: 0.985731
dir_x: 0.163224, dir_y: 0.986589
dir_x: 0.158030, dir_y: 0.987434
dir_x: 0.152675, dir_y: 0.988276
dir_x: 0.147295, dir_y: 0.989093
dir_x: 0.142227, dir_y: 0.989834
dir_x: 0.134095, dir_y: 0.990968
dir_x: 0.128721, dir_y: 0.991681
dir_x: 0.123617, dir_y: 0.992330
dir_x: 0.118537, dir_y: 0.992950
dir_x: 0.113382, dir_y: 0.993551
dir_x: 0.108075, dir_y: 0.994143
dir_x: 0.102672, dir_y: 0.994715
dir_x: 0.097042, dir_y: 0.995280
dir_x: 0.091921, dir_y: 0.995766
dir_x: 0.086640, dir_y: 0.996240
dir_x: 0.081445, dir_y: 0.996678
dir_x: 0.076247, dir_y: 0.997089
dir_x: 0.071161, dir_y: 0.997465
dir_x: 0.066004, dir_y: 0.997819
dir_x: 0.060743, dir_y: 0.998153
dir_x: 0.055329, dir_y: 0.998468
dir_x: 0.049843, dir_y: 0.998757
dir_x: 0.044501, dir_y: 0.999009
dir_x: 0.039333, dir_y: 0.999226
dir_x: 0.033517, dir_y: 0.999438
dir_x: 0.027931, dir_y: 0.999610
dir_x: 0.022140, dir_y: 0.999755
dir_x: 0.016608, dir_y: 0.999862
dir_x: 0.010939, dir_y: 0.999940
dir_x: 0.005101, dir_y: 0.999987
dir_x: -0.001499, dir_y: 0.999999
dir_x: -0.007120, dir_y: 0.999975
dir_x: -0.012806, dir_y: 0.999918
dir_x: -0.018724, dir_y: 0.999825
dir_x: -0.024086, dir_y: 0.999710
dir_x: -0.030177, dir_y: 0.999545
dir_x: -0.036045, dir_y: 0.999350
dir_x: -0.041780, dir_y: 0.999127
dir_x: -0.047303, dir_y: 0.998881
dir_x: -0.052858, dir_y: 0.998602
dir_x: -0.058325, dir_y: 0.998298
dir_x: -0.063868, dir_y: 0.997958
dir_x: -0.069291, dir_y: 0.997596
dir_x: -0.074982, dir_y: 0.997185
dir_x: -0.080719, dir_y: 0.996737
dir_x: -0.086061, dir_y: 0.996290
dir_x: -0.091688, dir_y: 0.995788
dir_x: -0.097517, dir_y: 0.995234
dir_x: -0.103282, dir_y: 0.994652
dir_x: -0.108872, dir_y: 0.994056
dir_x: -0.114667, dir_y: 0.993404
dir_x: -0.120548, dir_y: 0.992708
dir_x: -0.126660, dir_y: 0.991946
dir_x: -0.132371, dir_y: 0.991200
dir_x: -0.138313, dir_y: 0.990389
dir_x: -0.144360, dir_y: 0.989525
dir_x: -0.150015, dir_y: 0.988684
dir_x: -0.155912, dir_y: 0.987771
dir_x: -0.161149, dir_y: 0.986930
dir_x: -0.166686, dir_y: 0.986010
dir_x: -0.172061, dir_y: 0.985086
dir_x: -0.177688, dir_y: 0.984087
dir_x: -0.183625, dir_y: 0.982996
dir_x: -0.189794, dir_y: 0.981824
dir_x: -0.195899, dir_y: 0.980624
dir_x: -0.201687, dir_y: 0.979450
dir_x: -0.207420, dir_y: 0.978252
dir_x: -0.213125, dir_y: 0.977025
dir_x: -0.219027, dir_y: 0.975719
dir_x: -0.224731, dir_y: 0.974421
dir_x: -0.230310, dir_y: 0.973117
dir_x: -0.236069, dir_y: 0.971736
dir_x: -0.242212, dir_y: 0.970223
dir_x: -0.248221, dir_y: 0.968703
dir_x: -0.253614, dir_y: 0.967305
dir_x: -0.258941, dir_y: 0.965893
dir_x: -0.264518, dir_y: 0.964381
dir_x: -0.269785, dir_y: 0.962921
dir_x: -0.275281, dir_y: 0.961364
dir_x: -0.281004, dir_y: 0.959707
dir_x: -0.286515, dir_y: 0.958076
dir_x: -0.291748, dir_y: 0.956495
dir_x: -0.297052, dir_y: 0.954861
dir_x: -0.302627, dir_y: 0.953109
dir_x: -0.307835, dir_y: 0.951440
dir_x: -0.313224, dir_y: 0.949679
dir_x: -0.318348, dir_y: 0.947974
dir_x: -0.323988, dir_y: 0.946061
dir_x: -0.329092, dir_y: 0.944298
dir_x: -0.334373, dir_y: 0.942441
dir_x: -0.339494, dir_y: 0.940608
dir_x: -0.344937, dir_y: 0.938626
dir_x: -0.350172, dir_y: 0.936685
dir_x: -0.357935, dir_y: 0.933746
dir_x: -0.363319, dir_y: 0.931665
dir_x: -0.368933, dir_y: 0.929456
dir_x: -0.374431, dir_y: 0.927255
dir_x: -0.379804, dir_y: 0.925067
dir_x: -0.385315, dir_y: 0.922785
dir_x: -0.390750, dir_y: 0.920497
dir_x: -0.395559, dir_y: 0.918441
dir_x: -0.400386, dir_y: 0.916347
dir_x: -0.405523, dir_y: 0.914085
dir_x: -0.410513, dir_y: 0.911855
dir_x: -0.415936, dir_y: 0.909394
dir_x: -0.421039, dir_y: 0.907042
dir_x: -0.426069, dir_y: 0.904691
dir_x: -0.431243, dir_y: 0.902236
dir_x: -0.436304, dir_y: 0.899799
dir_x: -0.441269, dir_y: 0.897375
dir_x: -0.446359, dir_y: 0.894854
dir_x: -0.451174, dir_y: 0.892436
dir_x: -0.456477, dir_y: 0.889735
dir_x: -0.461594, dir_y: 0.887091
dir_x: -0.466973, dir_y: 0.884272
dir_x: -0.471717, dir_y: 0.881750
dir_x: -0.476701, dir_y: 0.879066
dir_x: -0.481775, dir_y: 0.876295
dir_x: -0.486646, dir_y: 0.873599
dir_x: -0.494257, dir_y: 0.869316
dir_x: -0.498853, dir_y: 0.866687
dir_x: -0.504176, dir_y: 0.863601
dir_x: -0.509400, dir_y: 0.860530
dir_x: -0.514822, dir_y: 0.857297
dir_x: -0.520448, dir_y: 0.853893
dir_x: -0.525555, dir_y: 0.850760
dir_x: -0.530235, dir_y: 0.847851
dir_x: -0.535497, dir_y: 0.844537
dir_x: -0.540169, dir_y: 0.841557
dir_x: -0.545478, dir_y: 0.838125
dir_x: -0.550409, dir_y: 0.834895
dir_x: -0.555635, dir_y: 0.831426
dir_x: -0.560022, dir_y: 0.828478
dir_x: -0.565062, dir_y: 0.825048
dir_x: -0.569561, dir_y: 0.821949
dir_x: -0.574035, dir_y: 0.818830
dir_x: -0.578412, dir_y: 0.815745
dir_x: -0.583097, dir_y: 0.812403
dir_x: -0.587545, dir_y: 0.809191
dir_x: -0.591904, dir_y: 0.806008
dir_x: -0.596520, dir_y: 0.802599
dir_x: -0.601790, dir_y: 0.798655
dir_x: -0.606673, dir_y: 0.794952
dir_x: -0.611016, dir_y: 0.791618
dir_x: -0.617864, dir_y: 0.786285
dir_x: -0.621976, dir_y: 0.783036
dir_x: -0.626520, dir_y: 0.779405
dir_x: -0.631641, dir_y: 0.775261
dir_x: -0.636432, dir_y: 0.771333
dir_x: -0.641104, dir_y: 0.767454
dir_x: -0.645729, dir_y: 0.763567
dir_x: -0.650495, dir_y: 0.759511
dir_x: -0.654949, dir_y: 0.755673
dir_x: -0.659420, dir_y: 0.751775
dir_x: -0.664176, dir_y: 0.747576
dir_x: -0.669105, dir_y: 0.743168
dir_x: -0.674181, dir_y: 0.738566
dir_x: -0.678784, dir_y: 0.734338
dir_x: -0.682862, dir_y: 0.730547
dir_x: -0.686951, dir_y: 0.726703
dir_x: -0.690991, dir_y: 0.722863
dir_x: -0.695012, dir_y: 0.718998
dir_x: -0.699105, dir_y: 0.715019
dir_x: -0.703238, dir_y: 0.710954
dir_x: -0.707453, dir_y: 0.706760
dir_x: -0.711516, dir_y: 0.702670
dir_x: -0.715397, dir_y: 0.698718
dir_x: -0.719095, dir_y: 0.694912
dir_x: -0.722845, dir_y: 0.691010
dir_x: -0.726558, dir_y: 0.687105
dir_x: -0.730263, dir_y: 0.683166
dir_x: -0.734113, dir_y: 0.679027
dir_x: -0.737871, dir_y: 0.674942
dir_x: -0.741577, dir_y: 0.670868
dir_x: -0.745555, dir_y: 0.666444
dir_x: -0.749677, dir_y: 0.661804
dir_x: -0.753640, dir_y: 0.657287
dir_x: -0.757151, dir_y: 0.653240
dir_x: -0.762703, dir_y: 0.646749
dir_x: -0.766336, dir_y: 0.642440
dir_x: -0.770391, dir_y: 0.637571
dir_x: -0.774353, dir_y: 0.632754
dir_x: -0.778309, dir_y: 0.627882
dir_x: -0.781898, dir_y: 0.623407
